#-----------------------------------------------------------
# Vivado v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Mon Dec 15 22:56:22 2025
# Process ID: 33272
# Current directory: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project
# Command line: vivado.exe -mode batch -source run.tcl
# Log file: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/vivado.log
# Journal file: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project\vivado.jou
#-----------------------------------------------------------
source run.tcl
# open_project "E:\\Code\\CPU_Design\\HFUT_2020_MIPS_CPU\\project\\project.xpr"
Scanning sources...
Finished scanning sources
# launch_simulation -simset sim_1
INFO: [Vivado 12-5682] Launching behavioral simulation in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
INFO: [SIM-utils-51] Simulation object is 'sim_1'
INFO: [SIM-utils-54] Inspecting design source files for 'mips_tb' in fileset 'sim_1'...
INFO: [USF-XSim-97] Finding global include files...
INFO: [USF-XSim-98] Fetching design files from 'sim_1'...
INFO: [USF-XSim-2] XSim::Compile design
INFO: [USF-XSim-61] Executing 'COMPILE and ANALYZE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
"xvlog --incr --relax -prj mips_tb_vlog.prj"
INFO: [USF-XSim-69] 'compile' step finished in '1' seconds
INFO: [USF-XSim-3] XSim::Elaborate design
INFO: [USF-XSim-61] Executing 'ELABORATE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
Vivado Simulator 2018.3
Copyright 1986-1999, 2001-2018 Xilinx, Inc. All Rights Reserved.
Running: D:/Xilinx/Vivado/2018.3/bin/unwrapped/win64.o/xelab.exe -wto e6f7202c585f498eb4e5ec9ab3b2b493 --incr --debug typical --relax --mt 2 -L xil_defaultlib -L unisims_ver -L unimacro_ver -L secureip --snapshot mips_tb_behav xil_defaultlib.mips_tb xil_defaultlib.glbl -log elaborate.log 
Using 2 slave threads.
Starting static elaboration
Completed static elaboration
INFO: [XSIM 43-4323] No Change in HDL. Linking previously generated obj files to create kernel
INFO: [USF-XSim-69] 'elaborate' step finished in '1' seconds
INFO: [USF-XSim-4] XSim::Simulate design
INFO: [USF-XSim-61] Executing 'SIMULATE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
INFO: [USF-XSim-98] *** Running xsim
launch_simulation: Time (s): cpu = 00:00:00 ; elapsed = 00:00:06 . Memory (MB): peak = 335.523 ; gain = 15.191
# run all
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000009
@00003050: $ 2 <= 01fffe00
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03fffc00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000000a
@00003050: $ 2 <= 03fffc00
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 07fff800
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000000b
@00003050: $ 2 <= 07fff800
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0ffff000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000000c
@00003050: $ 2 <= 0ffff000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 1fffe000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000000d
@00003050: $ 2 <= 1fffe000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 3fffc000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000000e
@00003050: $ 2 <= 3fffc000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 7fff8000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000000f
@00003050: $ 2 <= 7fff8000
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffff0000
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000010
@00003050: $ 2 <= ffff0001
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffe0002
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000011
@00003050: $ 2 <= fffe0002
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fffc0004
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000012
@00003050: $ 2 <= fffc0004
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fff80008
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000013
@00003050: $ 2 <= fff80008
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fff00010
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000014
@00003050: $ 2 <= fff00010
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffe00020
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000015
@00003050: $ 2 <= ffe00020
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ffc00040
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000016
@00003050: $ 2 <= ffc00040
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ff800080
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000017
@00003050: $ 2 <= ff800080
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ff000100
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000018
@00003050: $ 2 <= ff000100
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fe000200
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000019
@00003050: $ 2 <= fe000200
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fc000400
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000001a
@00003050: $ 2 <= fc000400
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= f8000800
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000001b
@00003050: $ 2 <= f8000800
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= f0001000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000001c
@00003050: $ 2 <= f0001000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= e0002000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000001d
@00003050: $ 2 <= e0002000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= c0004000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000001e
@00003050: $ 2 <= c0004000
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80008000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000001f
@00003050: $ 2 <= 80008000
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00010000
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000020
@00003050: $ 2 <= 00010001
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00020002
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000021
@00003050: $ 2 <= 00020002
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00040004
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000022
@00003050: $ 2 <= 00040004
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00080008
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000023
@00003050: $ 2 <= 00080008
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00100010
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000024
@00003050: $ 2 <= 00100010
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00200020
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000025
@00003050: $ 2 <= 00200020
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00400040
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000026
@00003050: $ 2 <= 00400040
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00800080
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000027
@00003050: $ 2 <= 00800080
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01000100
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000028
@00003050: $ 2 <= 01000100
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 02000200
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000029
@00003050: $ 2 <= 02000200
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 04000400
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000002a
@00003050: $ 2 <= 04000400
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 08000800
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000002b
@00003050: $ 2 <= 08000800
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 10001000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000002c
@00003050: $ 2 <= 10001000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 20002000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000002d
@00003050: $ 2 <= 20002000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 40004000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000002e
@00003050: $ 2 <= 40004000
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80008000
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000002f
@00003050: $ 2 <= 80008001
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00010002
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000030
@00003050: $ 2 <= 00010003
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00020006
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000031
@00003050: $ 2 <= 00020006
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0004000c
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000032
@00003050: $ 2 <= 0004000c
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00080018
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000033
@00003050: $ 2 <= 00080018
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00100030
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000034
@00003050: $ 2 <= 00100030
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00200060
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000035
@00003050: $ 2 <= 00200060
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 004000c0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000036
@00003050: $ 2 <= 004000c0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00800180
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000037
@00003050: $ 2 <= 00800180
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01000300
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000038
@00003050: $ 2 <= 01000300
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 02000600
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000039
@00003050: $ 2 <= 02000600
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 04000c00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000003a
@00003050: $ 2 <= 04000c00
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 08001800
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000003b
@00003050: $ 2 <= 08001800
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 10003000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000003c
@00003050: $ 2 <= 10003000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 20006000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000003d
@00003050: $ 2 <= 20006000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 4000c000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000003e
@00003050: $ 2 <= 4000c000
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80018000
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000003f
@00003050: $ 2 <= 80018001
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00030002
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000040
@00003050: $ 2 <= 00030003
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00060006
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000041
@00003050: $ 2 <= 00060006
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 000c000c
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000042
@00003050: $ 2 <= 000c000c
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00180018
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000043
@00003050: $ 2 <= 00180018
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00300030
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000044
@00003050: $ 2 <= 00300030
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00600060
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000045
@00003050: $ 2 <= 00600060
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00c000c0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000046
@00003050: $ 2 <= 00c000c0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01800180
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000047
@00003050: $ 2 <= 01800180
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03000300
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000048
@00003050: $ 2 <= 03000300
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 06000600
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000049
@00003050: $ 2 <= 06000600
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0c000c00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000004a
@00003050: $ 2 <= 0c000c00
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 18001800
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000004b
@00003050: $ 2 <= 18001800
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 30003000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000004c
@00003050: $ 2 <= 30003000
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 60006000
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000004d
@00003050: $ 2 <= 60006000
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= c000c000
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000004e
@00003050: $ 2 <= c000c001
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80018002
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000004f
@00003050: $ 2 <= 80018002
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00030004
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000050
@00003050: $ 2 <= 00030005
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0006000a
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000051
@00003050: $ 2 <= 0006000a
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 000c0014
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000052
@00003050: $ 2 <= 000c0014
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00180028
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000053
@00003050: $ 2 <= 00180028
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00300050
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000054
@00003050: $ 2 <= 00300050
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 006000a0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000055
@00003050: $ 2 <= 006000a0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00c00140
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000056
@00003050: $ 2 <= 00c00140
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01800280
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000057
@00003050: $ 2 <= 01800280
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03000500
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000058
@00003050: $ 2 <= 03000500
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 06000a00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000059
@00003050: $ 2 <= 06000a00
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0c001400
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000005a
